s, x, y;
34.850000, 34.458230, 2.156671;
34.900000, 34.507927, 2.162161;
34.950000, 34.557627, 2.167636;
35.000000, 34.607327, 2.173099;
35.050000, 34.657030, 2.178548;
35.100000, 34.706733, 2.183986;
35.150000, 34.756438, 2.189414;
35.200000, 34.806143, 2.194831;
35.250000, 34.855850, 2.200240;
35.300000, 34.905557, 2.205640;
35.350000, 34.955266, 2.211033;
35.400000, 35.004975, 2.216420;
35.450000, 35.054684, 2.221801;
35.500000, 35.104394, 2.227178;
35.550000, 35.154105, 2.232551;
35.600000, 35.203815, 2.237922;
35.650000, 35.253526, 2.243290;
35.700000, 35.303237, 2.248658;
35.750000, 35.352948, 2.254025;
35.800000, 35.402659, 2.259394;
35.850000, 35.452370, 2.264764;
35.900000, 35.502081, 2.270136;
35.950000, 35.551791, 2.275512;
36.000000, 35.601501, 2.280892;
36.050000, 35.651210, 2.286278;
36.100000, 35.700918, 2.291670;
36.150000, 35.750626, 2.297068;
36.200000, 35.800333, 2.302475;
36.250000, 35.850039, 2.307890;
36.300000, 35.899743, 2.313315;
36.350000, 35.949447, 2.318751;
36.400000, 35.999149, 2.324198;
36.450000, 36.048850, 2.329657;
36.500000, 36.098550, 2.335130;
36.550000, 36.148248, 2.340617;
36.600000, 36.197944, 2.346119;
36.650000, 36.247639, 2.351636;
36.700000, 36.297332, 2.357171;
36.750000, 36.347023, 2.362723;
36.800000, 36.396711, 2.368294;
36.850000, 36.446398, 2.373884;
36.900000, 36.496082, 2.379494;
36.950000, 36.545764, 2.385126;
37.000000, 36.595443, 2.390780;
37.050000, 36.645120, 2.396457;
37.100000, 36.694794, 2.402157;
37.150000, 36.744465, 2.407883;
37.200000, 36.794133, 2.413634;
37.250000, 36.843798, 2.419411;
37.300000, 36.893460, 2.425217;
37.350000, 36.943119, 2.431050;
37.400000, 36.992774, 2.436913;
37.450000, 37.042425, 2.442805;
37.500000, 37.092073, 2.448729;
37.550000, 37.141709, 2.454754;
37.600000, 37.191313, 2.461032;
37.650000, 37.240889, 2.467532;
37.700000, 37.290440, 2.474215;
37.750000, 37.339972, 2.481042;
37.800000, 37.389489, 2.487974;
37.850000, 37.438996, 2.494974;
37.900000, 37.488500, 2.502003;
37.950000, 37.538005, 2.509021;
38.000000, 37.587517, 2.515991;
38.050000, 37.637041, 2.522874;
38.100000, 37.686582, 2.529631;
38.150000, 37.736145, 2.536224;
38.200000, 37.785735, 2.542614;
38.250000, 37.835356, 2.548762;
38.300000, 37.885010, 2.554630;
38.350000, 37.934701, 2.560178;
38.400000, 37.984431, 2.565368;
38.450000, 38.034201, 2.570161;
38.500000, 38.084011, 2.574517;
38.550000, 38.133859, 2.578398;
38.600000, 38.183746, 2.581764;
38.650000, 38.233665, 2.584610;
38.700000, 38.283577, 2.587564;
38.750000, 38.333469, 2.590843;
