x, y, cost, index, parent_index;
0.919013, -0.714267, 27.311849, 390, 373;
11.100386, -0.788473, 32.099652, 391, 163;
41.521068, -1.274204, 83.273466, 392, 219;
29.202955, -0.439503, 50.576514, 393, 321;
2.352757, -1.757479, 28.156961, 394, 357;
21.894523, 21.930204, 9.340569, 395, 338;
7.505332, 14.698152, 7.311392, 396, 14;
11.300072, 17.001593, 2.878616, 397, 0;
1.765686, 17.139569, 12.474187, 398, 112;
62.207527, 1.466568, 148.514191, 399, 262;
14.234815, -1.964846, 35.718662, 400, 282;
2.032651, 20.735978, 13.003622, 401, 109;
23.445816, -1.749278, 45.697330, 402, 200;
10.852599, 17.487257, 3.191663, 403, 10;
41.739263, -1.946159, 84.074660, 404, 363;
3.732639, 8.180773, 18.050682, 405, 32;
62.833637, -1.405324, 147.142017, 406, 255;
21.156246, 0.389895, 42.439626, 407, 190;
-3.641012, 5.469790, 23.531515, 408, 354;
5.305371, 15.426536, 9.125838, 409, 377;
29.583944, -6.567983, 57.812888, 410, 305;
9.465087, 21.424493, 5.735723, 411, 11;
42.080330, -1.675658, 84.909123, 412, 363;
55.573367, 0.406952, 127.460442, 413, 247;
-0.940401, 21.963691, 16.440084, 414, 228;
32.696068, -1.307079, 56.651633, 415, 210;
52.453303, 0.731590, 119.074164, 416, 244;
61.134585, -0.294565, 142.540381, 417, 254;
36.471884, 0.346674, 68.573594, 418, 213;
59.058546, 0.110029, 137.046432, 419, 251;
3.356889, 17.957702, 10.743091, 420, 96;
1.941364, 19.106101, 12.310689, 421, 54;
64.303518, 0.692715, 153.345460, 422, 343;
3.123074, 2.146526, 24.114017, 423, 39;
51.074664, 0.288716, 113.524002, 424, 356;
17.464535, 21.395330, 6.115005, 425, 294;
2.667478, 18.944489, 11.567011, 426, 54;
65.790266, 0.891669, 157.977161, 427, 312;
67.284743, 1.020266, 162.342955, 428, 422;
68.784255, 0.982014, 166.963218, 429, 427;
70.283013, 0.920978, 171.342695, 430, 428;
71.782801, 0.946191, 175.959497, 431, 429;
73.280087, 0.856007, 174.340474, 432, 430;
74.779516, 0.897420, 175.840474, 433, 432;
76.279498, 0.890132, 177.340078, 434, 432;
77.779414, 0.905977, 178.840078, 435, 434;
79.278832, 0.864187, 180.339524, 436, 434;
80.778402, 0.828292, 181.839524, 437, 436;
17.508490, 17.317388, 3.920363, 438, 5;
4.506286, -0.279658, 26.622474, 439, 83;
82.278401, 0.830081, 183.339288, 440, 436;
83.777773, 0.786665, 184.839184, 441, 437;
85.277617, 0.808319, 186.338582, 442, 440;
86.777527, 0.791930, 187.838582, 443, 442;
-1.374518, 8.482822, 19.796394, 444, 65;
2.307787, 5.564728, 20.861830, 445, 36;
42.042246, 0.804514, 85.880313, 446, 220;
9.292042, 1.205898, 29.968770, 447, 196;
11.183622, 17.035177, 2.977057, 448, 0;
11.269866, 19.939568, 3.389899, 449, 7;
88.277499, 0.801068, 189.338473, 450, 442;
6.842740, 1.003572, 27.457488, 451, 83;
-9.013133, 1.379876, 33.856228, 452, 334;
3.848970, 5.733492, 20.500726, 453, 405;
28.968084, 0.705076, 50.263355, 454, 204;
21.403334, 0.546297, 42.689591, 455, 190;
73.734611, -0.573472, 175.840474, 456, 432;
28.528713, -5.501921, 58.132271, 457, 305;
16.415742, 20.767602, 3.674007, 458, 126;
88.220470, -0.225322, 189.604053, 459, 443;
3.607327, 14.391468, 11.114486, 460, 409;
73.896346, 1.637417, 175.335650, 461, 432;
16.992636, 21.583518, 4.673269, 462, 458;
73.532128, -2.059743, 177.267096, 463, 432;
47.465884, -1.200007, 100.967335, 464, 237;
74.129009, -3.435872, 178.729918, 465, 456;
19.813241, 19.653542, 6.404048, 466, 31;
15.508661, -1.325098, 36.540541, 467, 282;
78.772410, -0.547739, 180.217939, 468, 434;
51.489779, -1.057686, 113.140542, 469, 243;
30.980827, -0.682210, 52.366310, 470, 273;
29.959494, -7.467964, 58.491174, 471, 305;
84.677884, 1.028986, 185.747001, 472, 440;
89.711381, -0.390206, 191.104053, 473, 459;
-0.137347, 16.058315, 14.662941, 474, 398;
91.159110, -0.782737, 192.595092, 475, 459;
80.135785, 1.973280, 181.426894, 476, 435;
1.713344, 0.286041, 26.098955, 477, 339;
-2.359853, 17.228355, 16.507597, 478, 41;
92.659077, -0.792591, 194.079087, 479, 473;
94.156640, -0.707106, 195.579087, 480, 479;
95.656117, -0.667527, 197.078736, 481, 479;
97.155233, -0.616035, 198.578736, 482, 481;
98.631625, -0.881115, 200.061899, 483, 481;
100.131144, -0.843132, 201.561899, 484, 483;
8.154111, 21.183307, 6.659477, 485, 24;
34.469626, -0.692994, 61.640995, 486, 210;
10.280006, 17.754838, 3.776438, 487, 10;
60.378832, 0.327885, 141.486101, 488, 254;
9.560370, 21.400392, 5.638539, 489, 449;
101.631129, -0.836374, 203.061737, 490, 483;
99.012437, 0.187442, 200.602292, 491, 482;
103.128709, -0.751212, 204.560874, 492, 484;
8.549983, 20.387392, 5.951381, 493, 348;
104.628708, -0.749530, 206.060574, 494, 490;
106.128612, -0.766565, 207.560574, 495, 494;
8.141865, 18.554461, 6.045648, 496, 47;
107.627934, -0.721470, 209.059931, 497, 494;
109.122670, -0.595922, 210.559492, 498, 495;
110.620426, -0.513896, 212.059492, 499, 498;
20.147151, 16.109477, 6.526041, 500, 3;
4.214972, 1.520384, 24.831607, 501, 83;
112.120087, -0.482017, 213.559072, 502, 498;
113.588840, -0.177445, 215.046912, 503, 499;
12.530599, 0.721972, 33.173629, 504, 157;
115.087893, -0.230739, 216.537496, 505, 502;
54.789504, 0.364205, 124.571234, 506, 245;
84.275079, -0.289619, 185.628490, 507, 440;
106.608245, 0.654685, 208.487585, 508, 494;
116.587387, -0.269706, 218.037496, 509, 505;
106.168377, 1.313505, 208.634811, 510, 494;
60.122562, 1.359611, 141.970075, 511, 419;
29.224255, -5.706706, 57.287021, 512, 274;
118.073904, -0.069037, 219.527882, 513, 505;
119.572078, 0.004951, 221.027882, 514, 513;
73.411031, -4.752880, 179.962954, 515, 463;
75.905653, 0.835284, 176.966121, 516, 432;
121.072065, -0.001153, 222.526812, 517, 513;
50.561998, -0.710151, 110.146624, 518, 240;
15.680051, 0.311034, 36.547548, 519, 147;
118.533956, 1.248784, 220.506290, 520, 509;
122.572003, 0.012533, 224.026812, 521, 517;
124.068139, 0.120126, 225.525340, 522, 517;
52.257903, 1.681607, 118.942611, 523, 518;
8.449812, 0.950186, 29.065447, 524, 451;
73.585967, -1.558041, 176.773823, 525, 432;
4.016205, 1.742664, 24.542701, 526, 39;
-0.705620, 21.024368, 15.529952, 527, 107;
