path_nbr, x, y, cost, index, parent_index;
3, 138.058558, -0.174069, 139.208619, 280, 263;
3, 140.057033, -0.123555, 141.207732, 293, 280;
3, 142.051386, 0.008963, 143.206483, 318, 293;
3, 143.048052, 0.090562, 144.206483, 332, 318;
3, 144.916530, 0.238931, 146.080843, 348, 332;
3, 146.107330, 0.225518, 147.271718, 1847, 348;
3, 147.166154, 0.217832, 148.330570, 876, 1847;
3, 148.854427, -0.003899, 150.037711, 1712, 876;
3, 150.710095, 0.017887, 151.893507, 1110, 1712;
3, 152.575847, -0.185527, 153.770314, 2112, 1110;
3, 154.432082, -0.385136, 155.637251, 772, 2112;
3, 155.561994, -0.506457, 156.808943, 2069, 772;
3, 156.913508, -0.530506, 158.160671, 1592, 2069;
3, 158.051743, -0.423350, 159.305049, 2003, 1592;
3, 159.516992, -0.270632, 160.778235, 521, 2003;
3, 160.287660, -0.204682, 161.551720, 2159, 521;
3, 160.867058, -0.211703, 162.131160, 1646, 2159;
3, 162.438403, -0.003472, 163.742569, 2088, 1646;
3, 163.741723, -0.526642, 165.146972, 2140, 2088;
3, 165.453848, -0.636090, 166.862591, 480, 2140;
3, 166.885154, -0.858983, 168.565848, 1752, 480;
3, 168.825872, -0.908591, 170.507200, 1922, 1752;
3, 170.581697, -1.030295, 172.267239, 559, 1922;
3, 172.381737, -0.711402, 174.095307, 2028, 559;
3, 174.351554, -0.638917, 176.066458, 1998, 2028;
3, 176.046196, -0.416085, 177.775687, 2176, 1998;
3, 177.831942, 0.102817, 179.635296, 2303, 2176;
3, 179.306531, 0.484642, 181.158518, 2352, 2303;
4, 0.000000, -1.000000, 0.000000, 0, -1;
4, 1.999692, -0.965199, 1.999995, 2, 0;
4, 3.999597, -0.949934, 3.999958, 4, 2;
4, 5.999143, -0.927156, 5.999633, 6, 4;
4, 6.999125, -0.921230, 6.999633, 7, 6;
4, 8.394946, -0.892563, 8.395748, 1336, 7;
4, 9.276391, -0.851366, 9.278155, 1521, 1336;
4, 10.987046, -0.760094, 10.991244, 11, 1521;
4, 12.986783, -0.739107, 12.992095, 13, 11;
4, 14.264244, -0.626896, 14.274476, 1672, 13;
4, 16.149392, -0.513361, 16.163040, 1258, 1672;
4, 17.715503, -0.323381, 17.740631, 1878, 1258;
4, 18.329492, -0.299879, 18.355069, 919, 1878;
4, 19.915770, -0.242602, 19.942381, 2060, 919;
4, 20.796059, -0.207053, 20.823388, 24, 2060;
4, 21.969265, -0.036092, 22.008985, 2800, 24;
4, 23.795488, -0.254563, 23.848229, 27, 2800;
4, 25.351946, -0.216892, 25.433213, 1184, 27;
4, 26.995203, -0.120106, 27.079317, 246, 1184;
4, 28.539423, 0.008644, 28.628895, 2873, 246;
4, 29.974656, 0.102421, 30.067189, 1980, 2873;
4, 31.566445, 0.368507, 31.684191, 1807, 1980;
4, 33.432085, 0.213559, 33.556254, 2067, 1807;
4, 34.376237, 0.212244, 34.500407, 47, 2067;
4, 35.981382, 0.086010, 36.110508, 2576, 47;
4, 36.973613, 0.028594, 37.104399, 404, 2576;
4, 38.885369, 0.056426, 39.016358, 3291, 404;
4, 40.321635, 0.246931, 40.465203, 2906, 3291;
4, 42.180465, 0.409881, 42.331161, 3335, 2906;
4, 43.209720, 0.255964, 43.371861, 2130, 3335;
4, 44.540365, -0.003302, 44.727529, 3345, 2130;
4, 45.522642, 0.173521, 45.725594, 726, 3345;
4, 46.703277, 0.426589, 46.959850, 3250, 726;
4, 48.332826, 0.502261, 48.591154, 1682, 3250;
4, 49.960941, 0.458328, 50.301261, 2729, 1682;
4, 51.280625, 0.434415, 51.621161, 518, 2729;
4, 52.794400, 0.433199, 53.161423, 991, 518;
4, 54.689782, 0.560802, 55.061096, 3078, 991;
4, 55.761576, 0.514804, 56.133876, 555, 3078;
4, 56.780794, 0.471371, 57.154019, 3372, 555;
4, 58.123294, 0.374376, 58.500019, 2546, 3372;
4, 59.270581, 0.305156, 59.656620, 1607, 2546;
4, 61.125123, 0.527386, 61.528171, 2285, 1607;
4, 61.664699, 0.535651, 62.067810, 1671, 2285;
4, 63.632173, 0.625575, 64.037338, 2790, 1671;
4, 64.488297, 0.689728, 64.895863, 1637, 2790;
4, 65.825176, 0.699750, 66.232779, 3424, 1637;
4, 67.698318, 0.887700, 68.115326, 2048, 3424;
4, 68.547323, 0.989217, 68.970379, 3507, 2048;
4, 69.611708, 0.883075, 70.040043, 2368, 3507;
4, 71.549454, 1.260497, 72.027651, 3133, 2368;
4, 73.202614, 1.242278, 73.680911, 3196, 3133;
4, 74.838902, 1.155436, 75.319502, 698, 3196;
4, 76.720740, 0.953436, 77.212151, 3433, 698;
4, 77.806008, 0.936127, 78.297557, 2764, 3433;
4, 78.892859, 1.005021, 79.448649, 2562, 2764;
4, 80.539007, 1.005666, 81.099110, 2186, 2562;
4, 82.444766, 0.961737, 83.005375, 2686, 2186;
4, 84.142200, 0.702340, 84.722515, 687, 2686;
4, 85.308549, 0.412229, 85.924402, 2890, 687;
4, 87.135075, -0.045146, 87.807323, 3022, 2890;
4, 88.411811, 0.011952, 89.085335, 131, 3022;
4, 89.474390, 0.048324, 90.178187, 1440, 131;
4, 91.408642, 0.125007, 92.113959, 139, 1440;
4, 92.937816, 0.163514, 93.643618, 2080, 139;
4, 93.941069, 0.195776, 94.647389, 3163, 2080;
4, 95.376208, 0.255981, 96.083790, 694, 3163;
4, 96.780605, 0.285112, 97.488573, 1593, 694;
4, 98.345754, -0.053071, 99.089841, 240, 1593;
4, 99.578981, -0.175684, 100.329148, 1963, 240;
4, 100.144376, -0.249583, 100.899352, 894, 1963;
4, 102.064993, -0.419060, 102.827432, 3047, 894;
4, 103.284557, -0.441722, 104.047207, 898, 3047;
4, 104.930537, -0.544328, 105.696382, 3446, 898;
4, 105.937985, -0.508721, 106.704458, 3453, 3446;
4, 107.716408, -0.598527, 108.485148, 1604, 3453;
4, 109.523607, -0.964568, 110.372729, 1236, 1604;
4, 110.133204, -1.004029, 110.983602, 2918, 1236;
4, 111.573381, -1.269069, 112.447964, 2603, 2918;
4, 113.425418, -1.353079, 114.303339, 1842, 2603;
4, 113.649487, -1.398192, 114.531904, 3312, 1842;
4, 115.358325, -1.392369, 116.240751, 2485, 3312;
4, 115.730196, -1.357053, 116.631603, 2961, 2485;
4, 117.582066, -1.242736, 118.486998, 2925, 2961;
4, 118.932646, -1.223832, 119.837898, 2837, 2925;
4, 120.800675, -1.031413, 121.718251, 467, 2837;
4, 122.780514, -0.839665, 123.707353, 3208, 467;
4, 123.253307, -0.885547, 124.182367, 2147, 3208;
4, 125.114713, -0.786274, 126.046420, 3302, 2147;
4, 126.967960, -0.743209, 127.900167, 602, 3302;
4, 128.584767, -1.114224, 129.596011, 3143, 602;
4, 129.505804, -1.216882, 130.522752, 2608, 3143;
4, 131.217854, -1.212525, 132.255018, 2829, 2608;
4, 132.195758, -1.163213, 133.234165, 3074, 2829;
4, 134.073502, -0.834089, 135.140535, 494, 3074;
4, 135.497321, -0.473901, 136.609207, 3127, 494;
4, 136.524304, -0.347680, 137.643917, 2812, 3127;
4, 138.060296, -0.180172, 139.189015, 3228, 2812;
4, 139.058548, -0.178577, 140.187269, 282, 3228;
4, 140.865916, -0.233732, 142.016491, 1223, 282;
4, 142.386031, -0.266307, 143.536955, 1643, 1223;
4, 144.009905, -0.183005, 145.162964, 337, 1643;
4, 145.416090, -0.313002, 146.575145, 2091, 337;
4, 147.358485, -0.236675, 148.519040, 863, 2091;
4, 148.762607, -0.326564, 149.926036, 2598, 863;
4, 150.474855, -0.134640, 151.649007, 1078, 2598;
4, 152.298844, -0.145318, 153.473026, 3330, 1078;
4, 153.851206, -0.117067, 155.025646, 3409, 3330;
4, 155.561994, -0.506457, 156.780189, 2069, 3409;
4, 156.913508, -0.530506, 158.160671, 1592, 2069;
4, 158.051743, -0.423350, 159.305049, 2003, 1592;
4, 159.427395, -0.511329, 160.683511, 1785, 2003;
4, 161.102773, -0.392713, 162.363083, 2613, 1785;
4, 162.718159, -0.488063, 163.981280, 1554, 2613;
4, 164.592606, -0.942932, 165.910129, 3042, 1554;
4, 166.147411, -0.837063, 167.468535, 1601, 3042;
4, 167.558120, -0.757925, 168.881461, 3128, 1601;
4, 169.501427, -0.614861, 170.830027, 1461, 3128;
4, 170.809132, -0.491475, 172.143541, 3288, 1461;
4, 172.381737, -0.711402, 173.731449, 2028, 3288;
4, 172.990988, -0.502842, 174.375409, 3346, 2028;
4, 174.697237, -0.071431, 176.135352, 2791, 3346;
4, 176.007871, 0.168811, 177.467823, 3475, 2791;
4, 177.831942, 0.102817, 179.293087, 2303, 3475;
4, 179.179530, -0.081295, 180.653194, 3509, 2303;
5, 0.000000, -1.000000, 0.000000, 0, -1;
5, 1.999692, -0.965199, 1.999995, 2, 0;
5, 3.999597, -0.949934, 3.999958, 4, 2;
5, 5.999143, -0.927156, 5.999633, 6, 4;
5, 6.999125, -0.921230, 6.999633, 7, 6;
5, 8.394946, -0.892563, 8.395748, 1336, 7;
5, 9.276391, -0.851366, 9.278155, 1521, 1336;
5, 10.987046, -0.760094, 10.991244, 11, 1521;
5, 12.986783, -0.739107, 12.992095, 13, 11;
5, 14.264244, -0.626896, 14.274476, 1672, 13;
5, 16.244117, -0.439120, 16.263233, 4299, 1672;
5, 17.715503, -0.323381, 17.739164, 1878, 4299;
5, 18.329492, -0.299879, 18.355069, 919, 1878;
5, 19.915770, -0.242602, 19.942381, 2060, 919;
5, 21.583265, -0.169693, 21.611470, 1772, 2060;
5, 23.062879, -0.136094, 23.091465, 3764, 1772;
