x, y, cost, index, parent_index;
182.635005, 10.385010, 184.649768, 293, 16;
1132.808357, 16.178790, 1134.918583, 294, 254;
1069.361076, 15.436348, 1071.633073, 295, 149;
1529.789161, 18.883140, 1531.937584, 296, 283;
214.659945, 13.280111, 216.805302, 297, 293;
608.244093, 15.051772, 610.140774, 298, 68;
630.909723, 1.974199, 634.043594, 299, 232;
694.023116, 16.861139, 696.008891, 300, 122;
1402.684126, 7.124282, 1407.157332, 301, 242;
1405.473932, 8.037127, 1409.473078, 302, 242;
521.611807, 15.074366, 523.473222, 303, 58;
269.914246, 19.566015, 272.721541, 304, 187;
1067.788844, 10.067418, 1070.554358, 305, 218;
453.690507, 4.582538, 456.491741, 306, 132;
1277.710562, 10.299371, 1280.661083, 307, 189;
743.923794, 16.023256, 746.069796, 308, 92;
675.019717, 1.377492, 677.900339, 309, 184;
1539.766176, 18.205518, 1541.920000, 310, 291;
1549.749991, 17.636795, 1551.905902, 311, 291;
1559.749574, 17.728095, 1561.903972, 312, 291;
517.486210, 4.906887, 519.621841, 313, 237;
588.277849, 15.269736, 590.177409, 314, 191;
49.312359, 8.373164, 52.648801, 315, 107;
453.286255, 8.508649, 455.278817, 316, 132;
215.472750, 10.230122, 217.365387, 317, 69;
1551.153360, 9.280291, 1554.508825, 318, 291;
1063.365314, 4.387707, 1067.227046, 319, 218;
1413.658597, 3.734673, 1418.643343, 320, 301;
1156.511743, 2.701692, 1162.159407, 321, 238;
706.030978, 8.219696, 708.197402, 322, 147;
273.098718, 17.040919, 275.476058, 323, 54;
717.488594, 15.579289, 719.509355, 324, 300;
1569.709672, 16.835658, 1571.881655, 325, 311;
538.391383, 12.332541, 540.282665, 326, 62;
505.974564, 11.023788, 507.920237, 327, 157;
556.490724, 14.299139, 558.360754, 328, 303;
581.804522, 13.909871, 583.677545, 329, 328;
1451.023467, 8.962723, 1454.988448, 330, 253;
322.339405, 16.554960, 324.589883, 331, 234;
967.783809, 2.685368, 972.908247, 332, 176;
1003.119652, 14.330846, 1005.447756, 333, 213;
1480.973875, 9.156612, 1484.613641, 334, 273;
1427.344436, 19.388917, 1429.480675, 335, 249;
1579.705506, 16.547034, 1581.881233, 336, 311;
1055.921193, 18.419768, 1057.998648, 337, 148;
950.841703, 8.310109, 953.927915, 338, 137;
859.102646, 8.034254, 861.600085, 339, 172;
1048.058833, 18.621378, 1050.133956, 340, 148;
1330.409120, 8.707559, 1333.063071, 341, 287;
1589.672388, 15.733852, 1591.873626, 342, 311;
1599.660312, 15.242556, 1601.873626, 343, 342;
1074.484308, 19.772220, 1076.558892, 344, 150;
1249.332123, 15.103017, 1251.491252, 345, 185;
762.237920, 3.856755, 766.756724, 346, 202;
97.091787, 16.506177, 100.798327, 347, 284;
1164.556792, 15.321631, 1166.678587, 348, 294;
1088.675324, 3.789890, 1092.363815, 349, 305;
685.148686, 8.355448, 687.272280, 350, 267;
653.384508, 18.315618, 655.445514, 351, 83;
1609.657542, 15.007210, 1611.871348, 352, 325;
540.928191, 2.659661, 543.135814, 353, 261;
1006.191014, 4.814190, 1009.456254, 354, 182;
1619.656453, 15.154781, 1621.856432, 355, 336;
1187.090612, 1.036796, 1191.181705, 356, 235;
459.176455, 0.648917, 462.983586, 357, 132;
1628.990912, 18.741964, 1631.307052, 358, 342;
1638.990338, 18.634843, 1641.307052, 359, 358;
1611.679887, 5.213838, 1615.804711, 360, 336;
104.568985, 2.590678, 106.120162, 361, 10;
1544.043918, 17.199267, 1546.211757, 362, 291;
1236.619633, 17.346438, 1238.723606, 363, 188;
1208.658391, 15.360748, 1210.834182, 364, 175;
661.291469, 12.609008, 663.181506, 365, 267;
559.752716, 15.555435, 561.617166, 366, 303;
139.543102, 0.841706, 141.137982, 367, 361;
242.481570, 3.731663, 244.062010, 368, 50;
1326.223695, 8.218117, 1328.986074, 369, 209;
1648.916152, 19.850667, 1651.263114, 370, 358;
1061.005288, 0.215318, 1066.161655, 371, 218;
1619.789042, 14.457344, 1622.017321, 372, 342;
1034.740270, 12.554874, 1037.118208, 373, 333;
1036.727454, 14.801862, 1039.058858, 374, 333;
45.678362, 18.943053, 54.088536, 375, 2;
912.408093, 11.277007, 914.889265, 376, 183;
679.164028, 12.588411, 681.054053, 377, 267;
626.717315, 1.173835, 629.870783, 378, 232;
716.296630, 12.696777, 718.186813, 379, 377;
176.983107, 12.480966, 179.502747, 380, 16;
1169.766604, 4.888865, 1173.448193, 381, 235;
100.723421, 7.440373, 102.617522, 382, 8;
360.595417, 8.908745, 362.257692, 383, 38;
51.088076, 5.444067, 53.372788, 384, 5;
509.693082, 1.641101, 512.143204, 385, 222;
1501.220311, 13.078884, 1503.808117, 386, 277;
755.058746, 10.325326, 757.021403, 387, 379;
1586.673815, 10.288970, 1589.553735, 388, 311;
1374.837790, 15.952920, 1377.082698, 389, 239;
1239.347104, 7.725580, 1242.458428, 390, 364;
1520.778557, 11.923770, 1523.400444, 391, 386;
1174.302279, 3.593857, 1178.165080, 392, 235;
811.796140, 5.461432, 814.195743, 393, 286;
1530.821711, 18.292656, 1532.977712, 394, 291;
1143.160152, 17.580574, 1145.244667, 395, 268;
673.140654, 17.774885, 675.147012, 396, 109;
1330.091361, 4.429873, 1334.101148, 397, 287;
63.585259, 14.827183, 68.262921, 398, 107;
659.116706, 15.350382, 661.007242, 399, 76;
1658.892417, 19.162090, 1661.211508, 400, 358;
1165.356297, 6.285878, 1168.825313, 401, 235;
1128.241891, 7.062842, 1131.164722, 402, 245;
287.489696, 12.166854, 289.405678, 403, 228;
1602.526995, 1.782544, 1607.544916, 404, 388;
901.685840, 13.669872, 904.038691, 405, 183;
563.188279, 5.622644, 565.461808, 406, 281;
341.624676, 11.133690, 343.430452, 407, 82;
1400.806755, 11.490140, 1403.432339, 408, 389;
1331.153438, 6.970159, 1334.071324, 409, 369;
146.799556, 7.625940, 148.604318, 410, 13;
12.501248, 9.486190, 23.151518, 411, 0;
1668.182242, 15.460854, 1670.635490, 412, 358;
1047.685803, 3.053307, 1053.062914, 413, 218;
217.106312, 19.604725, 220.228792, 414, 293;
